borough,date,open,cleaned,watered,resurfaced
Ahuntsic - Cartierville,2007-12-21,NA,19,19,NA
Ahuntsic - Cartierville,2007-12-22,NA,19,NA,NA
Ahuntsic - Cartierville,2007-12-23,NA,19,NA,NA
Ahuntsic - Cartierville,2007-12-24,NA,19,NA,NA
Ahuntsic - Cartierville,2007-12-26,NA,19,NA,NA
Ahuntsic - Cartierville,2007-12-27,NA,19,NA,NA
Ahuntsic - Cartierville,2007-12-28,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-12-29,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-12-30,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-01-03,21,19,19,19
Ahuntsic - Cartierville,2008-01-05,21,NA,NA,19
Ahuntsic - Cartierville,2008-01-06,NA,19,NA,NA
Ahuntsic - Cartierville,2008-01-07,NA,19,NA,NA
Ahuntsic - Cartierville,2008-01-08,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-01-09,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-01-10,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-01-11,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-01-12,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-01-13,NA,0,NA,NA
Ahuntsic - Cartierville,2008-01-15,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-01-16,NA,NA,NA,0
Ahuntsic - Cartierville,2008-01-17,NA,19,19,19
Ahuntsic - Cartierville,2008-01-18,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-01-19,NA,19,NA,NA
Ahuntsic - Cartierville,2008-01-20,21,19,NA,NA
Ahuntsic - Cartierville,2008-01-23,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-01-24,21,19,NA,NA
Ahuntsic - Cartierville,2008-01-25,21,19,NA,NA
Ahuntsic - Cartierville,2008-01-26,19,NA,NA,NA
Ahuntsic - Cartierville,2008-01-27,NA,19,NA,NA
Ahuntsic - Cartierville,2008-01-28,21,19,NA,NA
Ahuntsic - Cartierville,2008-01-29,21,19,NA,NA
Ahuntsic - Cartierville,2008-01-30,NA,0,0,0
Ahuntsic - Cartierville,2008-01-31,21,19,NA,NA
Ahuntsic - Cartierville,2008-02-01,21,19,NA,NA
Ahuntsic - Cartierville,2008-02-02,21,NA,NA,NA
Ahuntsic - Cartierville,2008-02-03,21,NA,NA,NA
Ahuntsic - Cartierville,2008-02-04,21,19,NA,NA
Ahuntsic - Cartierville,2008-02-05,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-02-06,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-02-07,21,19,NA,NA
Ahuntsic - Cartierville,2008-02-08,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-02-09,21,19,NA,NA
Ahuntsic - Cartierville,2008-02-10,21,NA,NA,NA
Ahuntsic - Cartierville,2008-02-11,21,19,NA,NA
Ahuntsic - Cartierville,2008-02-12,21,19,19,19
Ahuntsic - Cartierville,2008-02-13,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-02-14,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-02-15,21,NA,NA,NA
Ahuntsic - Cartierville,2008-02-16,21,19,NA,NA
Ahuntsic - Cartierville,2008-02-17,21,19,NA,NA
Ahuntsic - Cartierville,2008-02-18,NA,0,0,0
Ahuntsic - Cartierville,2008-02-19,NA,0,0,0
Ahuntsic - Cartierville,2008-02-20,21,19,NA,NA
Ahuntsic - Cartierville,2008-02-22,21,19,NA,NA
Ahuntsic - Cartierville,2008-02-23,21,NA,NA,NA
Ahuntsic - Cartierville,2008-02-24,NA,19,NA,NA
Ahuntsic - Cartierville,2008-02-25,21,19,NA,NA
Ahuntsic - Cartierville,2008-02-26,21,19,NA,NA
Ahuntsic - Cartierville,2008-02-28,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-02-29,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-03-01,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-03-02,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-03-03,NA,19,NA,NA
Ahuntsic - Cartierville,2008-03-04,NA,19,NA,NA
Ahuntsic - Cartierville,2008-03-06,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-03-07,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-03-08,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-03-22,NA,1,1,1
Ahuntsic - Cartierville,2008-12-12,0,0,0,NA
Ahuntsic - Cartierville,2008-12-15,NA,0,0,0
Ahuntsic - Cartierville,2008-12-16,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-12-17,NA,NA,19,NA
Ahuntsic - Cartierville,2008-12-18,NA,19,19,NA
Ahuntsic - Cartierville,2008-12-19,NA,19,19,NA
Ahuntsic - Cartierville,2008-12-20,NA,0,0,0
Ahuntsic - Cartierville,2008-12-21,NA,NA,NA,NA
Ahuntsic - Cartierville,2008-12-26,NA,0,0,0
Ahuntsic - Cartierville,2008-12-27,NA,19,NA,NA
Ahuntsic - Cartierville,2008-12-28,NA,19,NA,NA
Ahuntsic - Cartierville,2008-12-29,NA,19,NA,NA
Ahuntsic - Cartierville,2008-12-30,NA,19,NA,NA
Ahuntsic - Cartierville,2008-12-31,NA,19,19,19
Ahuntsic - Cartierville,2009-01-02,NA,NA,NA,NA
Ahuntsic - Cartierville,2009-01-06,21,19,19,19
Ahuntsic - Cartierville,2009-01-07,21,NA,19,NA
Ahuntsic - Cartierville,2009-01-08,NA,19,NA,NA
Ahuntsic - Cartierville,2009-01-09,NA,19,0,NA
Ahuntsic - Cartierville,2009-01-10,21,19,NA,19
Ahuntsic - Cartierville,2009-01-11,21,19,NA,19
Ahuntsic - Cartierville,2009-01-14,21,19,19,19
Ahuntsic - Cartierville,2009-01-15,21,19,19,19
Ahuntsic - Cartierville,2009-01-16,NA,19,19,19
Ahuntsic - Cartierville,2009-01-17,21,NA,NA,NA
Ahuntsic - Cartierville,2009-01-18,21,19,NA,NA
Ahuntsic - Cartierville,2009-01-19,21,NA,NA,NA
Ahuntsic - Cartierville,2009-01-20,21,NA,NA,NA
Ahuntsic - Cartierville,2009-01-21,21,19,19,19
Ahuntsic - Cartierville,2009-01-23,21,NA,NA,NA
Ahuntsic - Cartierville,2009-01-24,21,NA,NA,NA
Ahuntsic - Cartierville,2009-01-25,21,19,NA,NA
Ahuntsic - Cartierville,2009-01-26,21,19,19,19
Ahuntsic - Cartierville,2009-01-28,21,19,19,19
Ahuntsic - Cartierville,2009-01-29,NA,NA,NA,NA
Ahuntsic - Cartierville,2009-01-30,21,NA,NA,NA
Ahuntsic - Cartierville,2009-01-31,21,19,NA,NA
Ahuntsic - Cartierville,2009-02-01,21,NA,NA,NA
Ahuntsic - Cartierville,2009-02-03,21,NA,NA,NA
Ahuntsic - Cartierville,2009-02-06,21,0,NA,NA
Ahuntsic - Cartierville,2009-02-07,21,19,NA,NA
Ahuntsic - Cartierville,2009-02-08,NA,19,NA,NA
Ahuntsic - Cartierville,2009-02-09,NA,19,NA,NA
Ahuntsic - Cartierville,2009-02-10,NA,19,NA,NA
Ahuntsic - Cartierville,2009-02-12,NA,NA,NA,NA
Ahuntsic - Cartierville,2009-02-13,NA,19,NA,NA
Ahuntsic - Cartierville,2009-02-14,NA,19,NA,NA
Ahuntsic - Cartierville,2009-02-15,NA,19,NA,NA
Ahuntsic - Cartierville,2009-02-16,NA,19,NA,NA
Ahuntsic - Cartierville,2009-02-20,NA,19,NA,NA
Ahuntsic - Cartierville,2009-02-21,NA,19,NA,NA
Ahuntsic - Cartierville,2009-02-25,NA,NA,NA,NA
Ahuntsic - Cartierville,2009-02-27,NA,19,NA,NA
Ahuntsic - Cartierville,2009-02-28,NA,NA,NA,NA
